direction,blockage,power_ratio
0.17453292519943295,0.05898630526752422,0.20008544492343683
0.6981317007977318,0.06837537135841638,0.23673632416369772
1.2217304763960306,0.06775854148718062,0.23428303936843542
1.7453292519943295,0.0733683253363819,0.2568358953985559
2.2689280275926285,0.0664779599001619,0.22921053064243035
2.792526803190927,0.06399789806126834,0.21946552749568826
3.3161255787892263,0.05898630526752422,0.20008544492343683
3.839724354387525,0.06837537135841638,0.23673632416369772
4.363323129985823,0.06775854148718062,0.23428303936843542
4.886921905584122,0.0733683253363819,0.2568358953985559
5.410520681182422,0.0664779599001619,0.22921053064243035
5.934119456780721,0.06399789806126834,0.21946552749568826
