direction,blockage,power_ratio
0.17453292519943295,0.07652812929601592,0.2697814737484847
0.6981317007977318,0.08093853283337334,0.2881496670714674
1.2217304763960306,0.0758680253913639,0.2670624168598732
1.7453292519943295,0.08121486701904522,0.28931228990623437
2.2689280275926285,0.07874959630473734,0.27898934498688677
2.792526803190927,0.07727563075776381,0.27286993439904816
3.3161255787892263,0.07652812929601592,0.2697814737484847
3.839724354387525,0.08093853283337334,0.2881496670714674
4.363323129985823,0.0758680253913639,0.2670624168598732
4.886921905584122,0.08121486701904522,0.28931228990623437
5.410520681182422,0.07874959630473734,0.27898934498688677
5.934119456780721,0.07727563075776381,0.27286993439904816
