direction,blockage,power_ratio
0.17453292519943295,0.0751893326409488,0.2642748782719697
0.6981317007977318,0.07457055393910884,0.2617405411372391
1.2217304763960306,0.07683194699020852,0.271035554371158
1.7453292519943295,0.07603792344403741,0.26776150731786785
2.2689280275926285,0.07491684614646982,0.26315801748452516
2.792526803190927,0.07549814733669062,0.2655422324397061
3.3161255787892263,0.0751893326409488,0.2642748782719697
3.839724354387525,0.07457055393910884,0.2617405411372391
4.363323129985823,0.07683194699020852,0.271035554371158
4.886921905584122,0.07603792344403741,0.26776150731786785
5.410520681182422,0.07491684614646982,0.26315801748452516
5.934119456780721,0.07549814733669062,0.2655422324397061
