xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1884.8,-1884.8,468.03257234791533,460.1686638359241,466.60588721444213,458.620796203794
-1883.8,-1883.8,468.01530136659744,460.1560670278158,466.6084833001536,458.6146583906421
-1882.8,-1882.8,467.99763673911724,460.14329628529237,466.61043165572823,458.6086252874698
-1881.8,-1881.8,467.9792600265365,460.1302781446913,466.6116434465351,458.6026023006204
-1880.8,-1880.8,467.96042983646134,460.116880199198,466.6121670837141,458.5966014961571
-1879.8,-1879.8,467.94084073614283,460.10305358885495,466.61189467333367,458.59033769612284
-1878.8,-1878.8,468.131911595742,460.08921437555193,466.6106272260681,458.5837926756019
-1877.8,-1877.8,468.10743607535096,460.0754548189432,466.60856911544437,458.5771264560596
-1876.8,-1876.8,468.08255875917973,460.06177596597416,466.60545244738375,458.57027317930437
-1875.8,-1875.8,468.0572933095532,460.0480834941907,466.60146783324893,458.5632425920522
-1874.8,-1874.8,468.0315002765269,460.0344318727219,466.596532872586,458.5561354786832
-1873.8,-1873.8,468.00522428671707,460.02087181448746,466.59065075120515,458.5489521999246
-1872.8,-1872.8,467.9786158837825,460.0072702349969,466.5839174047594,458.54163063495974
-1871.8,-1871.8,467.95173307831044,459.99365050508544,466.57609925736284,458.534161916406
-1870.8,-1870.8,467.9245036148953,459.98017068476486,466.5673768556194,458.52670386324087
-1869.8,-1869.8,467.8969738301095,459.9668250219041,466.5576498563912,458.51913735561345
-1868.8,-1868.8,467.8692301056416,459.9535945979294,466.546917040164,458.5114387794898
-1867.8,-1867.8,467.8413057806432,459.94045680641545,466.53528668513775,458.503733145384
-1866.8,-1866.8,467.81325789649514,459.92747747482775,466.52271187452624,458.4960366725283
-1865.8,-1865.8,467.7848332275808,459.9146595875883,466.5091980770323,458.4881520222647
-1864.8,-1864.8,467.75635600775,459.90196735686004,466.4946685446179,458.4803165121663
-1863.8,-1863.8,467.72765587617545,459.88944599288067,466.4793549478376,458.47252105567924
-1862.8,-1862.8,467.6989505346872,459.8771187685586,466.46324439391896,458.4648116696603
-1861.8,-1861.8,467.6703030201299,459.86497823116315,466.4463569782676,458.4571244580839
-1860.8,-1860.8,467.6416791506128,459.8529785875656,466.42863418938487,458.4495374847043
-1859.8,-1859.8,467.6131921200386,459.84118930587454,466.4101452647194,458.44207441853376
-1858.8,-1858.8,467.5848850551964,459.8295811493646,466.39094903157604,458.43477520043984
-1857.8,-1857.8,467.5565468307702,459.8182108576251,466.371120990367,458.4276043631685
-1856.8,-1856.8,467.5284351960953,459.8070055710989,466.35063593882063,458.4206494647022
-1855.8,-1855.8,467.50045294285275,459.79606815820426,466.32946797756216,458.4133305381273
-1854.8,-1854.8,467.4727246220738,459.7854055906036,466.3076285340829,458.40592007855406
-1853.8,-1853.8,467.44535873425343,459.77488655783293,466.2852493147013,458.3986296171011
-1852.8,-1852.8,467.41846163756145,459.76452882423166,466.26233884753833,458.39164143127516
-1851.8,-1851.8,467.3919419901148,459.75447086403886,466.23891582625794,458.38494123652777
-1850.8,-1850.8,467.3659120619302,459.744681954835,466.214910284297,458.3786234692211
-1849.8,-1849.8,467.3401829001521,459.73518025737343,466.19043413416756,458.37261785077624
-1848.8,-1848.8,467.3148929444163,459.7259473909508,466.1655758286674,458.3670415447637
-1847.8,-1847.8,467.2901855408755,459.71701079178257,466.1402801197139,458.36192523130177
-1846.8,-1846.8,467.26605780428883,459.70839385821785,466.1146572204799,458.3572511103852
-1845.8,-1845.8,467.2425894502895,459.70009557334856,466.0885417123083,458.35294361166007
-1844.8,-1844.8,467.219590751218,459.6920866925144,466.0619863885431,458.34897880316083
-1843.8,-1843.8,467.19732966333436,459.68441955610564,466.03491205465696,458.34528795986455
-1842.8,-1842.8,467.1758148196572,459.6770930498066,466.0072528889808,458.3417909199167
-1841.8,-1841.8,467.15497063272767,459.6699728403566,465.9791109050245,458.3385774944039
-1840.8,-1840.8,467.1348151656554,459.6631602605557,466.3898907392562,458.3354646273517
-1839.8,-1839.8,467.11530868995106,459.6567251829127,466.3677489110115,458.33263456916245
-1838.8,-1838.8,467.0966540365955,459.6506774116818,466.3460901867686,458.3301119751504
-1837.8,-1837.8,467.0786631400772,459.6449077933232,466.32503727069945,458.32788317035926
-1836.8,-1836.8,467.0613821915783,459.63946072415416,466.3043359156885,458.32577365326836
-1835.8,-1835.8,467.04502480886026,459.63433292502833,466.30175137107597,458.3237455683207
-1834.8,-1834.8,467.0293327393489,459.6296027397886,466.2862490216314,458.32183025759224
-1833.8,-1833.8,467.0147936998689,459.62527246023797,466.27137818169456,458.3201557196848
-1832.8,-1832.8,467.00143116052516,459.62131045352,465.9742239414604,458.3186472577544
-1831.8,-1831.8,466.95152917137506,459.6176649930583,465.8060434792012,458.3174022185044
-1830.8,-1830.8,466.90103133515663,459.61438967231106,465.75066570596607,458.3163635809974
-1829.8,-1829.8,466.91627302777886,459.6115842085653,465.73275022369705,458.31559633776095
-1828.8,-1828.8,467.004311668278,459.6091899714135,465.7232835956368,458.3150510191768
-1827.8,-1827.8,467.15988298722135,459.60713693608653,465.716422542735,458.31475504589474
-1826.8,-1826.8,467.4155344827263,459.6054023081698,465.7110640500656,458.3148114105343
-1825.8,-1825.8,467.4123112492445,459.6038621391208,465.706882540185,458.31520030779586
-1824.8,-1824.8,467.41013871016594,459.60251738844664,465.70407109082106,458.3157763416127
-1823.8,-1823.8,467.4086217167783,459.60142999317713,465.70242135718087,458.3167267478654
-1822.8,-1822.8,467.40796875001627,459.6005650285468,465.70198614178884,458.3180898628519
-1821.8,-1821.8,467.3931678437254,459.59990350346874,465.70295001587886,458.31978355181684
-1820.8,-1820.8,467.38586957719417,459.5994637295469,465.70525387834647,458.32179594667656
-1819.8,-1819.8,467.3893127755432,459.599386522336,465.7088669444909,458.3242374494311
-1818.8,-1818.8,467.3960881553242,459.59968735270456,465.7139783799369,458.3270424324463
-1817.8,-1817.8,467.40374188407776,459.60033856251465,465.7203494380654,458.3300972486161
-1816.8,-1816.8,467.4121844020265,459.60131419465347,465.7278828417974,458.33352467501027
-1815.8,-1815.8,466.93708819119803,459.60266311650514,465.73678809561005,458.3373013208052
-1814.8,-1814.8,466.95055138763934,459.60437531743395,465.74727845710623,458.34145839040093
-1813.8,-1813.8,466.9648631091697,459.60643298041094,465.75910270497036,458.3459027595167
-1812.8,-1812.8,466.9797964255807,459.6087950473507,465.7718353236127,458.350779800333
-1811.8,-1811.8,466.99544325651163,459.61153897392586,465.7860379654971,458.3559926802261
-1810.8,-1810.8,467.01193096743947,459.6146584034789,465.80132172838967,458.3615718670882
-1809.8,-1809.8,467.0291105591096,459.6180235445239,465.8180949160379,458.367576145421
-1808.8,-1808.8,467.04700846905513,459.6216868078556,465.83610779266854,458.37386145431344
-1807.8,-1807.8,467.065612892117,459.62571679404795,465.85518833800097,458.38042653111233
-1806.8,-1806.8,467.0848610668225,459.63008567986964,465.87552379804185,458.3873874888576
-1805.8,-1805.8,467.1047488762654,459.63466017544755,465.89680047837965,458.3947526730569
-1804.8,-1804.8,467.12510560234034,459.639590437991,465.9193340707159,458.40248290825883
-1803.8,-1803.8,467.1460716946811,459.6448714788054,465.9431463327351,458.4107864999191
-1802.8,-1802.8,467.1676948261263,459.65045805654836,465.9697611372253,458.4202338522658
-1801.8,-1801.8,467.18973893157994,459.6563427912885,465.9991498276631,458.4313289448724
-1800.8,-1800.8,467.21215693850564,459.6625677649204,466.03056759919286,458.44357033294045
-1799.8,-1799.8,467.2349904231431,459.669107469028,466.0627239191757,458.45645750599124
-1798.8,-1798.8,467.2582003044394,459.6757626686007,466.09535898028884,458.46971689899954
-1797.8,-1797.8,467.28183257270007,459.6827166087713,466.1283541748282,458.48326314767917
-1796.8,-1796.8,467.30580308177866,459.6899822688182,466.1573809642368,458.4970218594445
-1795.8,-1795.8,467.32999177716727,459.6975063718939,466.1865846496079,458.5110035581141
-1794.8,-1794.8,467.35413785206873,459.7053040040132,466.2115668693685,458.52507440454207
-1793.8,-1793.8,467.37842647578566,459.71344323689334,466.2356334806344,458.53935847154344
-1792.8,-1792.8,467.4028737266303,459.72199256265264,466.25943979201753,458.5537515165633
-1791.8,-1791.8,467.4275205761718,459.7310028233686,466.28330879152503,458.5681642134879
-1790.8,-1790.8,467.452440622673,459.74062654666,466.2968550838549,458.5825398484421
